province,region,hashtag_query,video_id,title,channel_title,published_at,views,likes,comments,url
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,DnWGTE9TEmw,"Cựu Bí thư Vĩnh Phúc cũ Hoàng Thị Thuý Lan nghẹn ngào: Gia đình rất khó khăn, xin được giảm án",Báo Tiền Phong News,2025-12-15T22:33:01Z,1366,0,0,https://www.youtube.com/watch?v=DnWGTE9TEmw
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,TQjOOA0u7MU,Dáng vẻ khác lạ của cựu Bí thư Tỉnh ủy Vĩnh Phúc cũ Hoàng Thị Thúy Lan,Vietnam Now,2025-12-15T05:38:32Z,3142,6,0,https://www.youtube.com/watch?v=TQjOOA0u7MU
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,Ls9kQwuyzt8,Cựu Bí thư tỉnh Vĩnh Phúc xin hưởng án treo để chăm lo mộ phần tổ tiên | SKĐS,Báo Sức khỏe & Đời sống,2025-12-16T07:02:27Z,1140,13,0,https://www.youtube.com/watch?v=Ls9kQwuyzt8
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,-wvINi91LiE,Dáng vẻ khác lạ của cựu Bí thư Tỉnh ủy Vĩnh Phúc cũ Hoàng Thị Thúy Lan trong phiên tòa xét xử,Tạp chí VietTimes,2025-12-15T08:32:53Z,1268,1,0,https://www.youtube.com/watch?v=-wvINi91LiE
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,xr4YwHK1IaI,Cựu Bí thư Tỉnh ủy Vĩnh Phúc (cũ) khóc như mưa trong phiên tòa phúc thẩm vụ Tập đoàn Phúc Sơn,VẤN ĐỀ HÔM NAY,2025-12-15T11:09:04Z,3822,296,3,https://www.youtube.com/watch?v=xr4YwHK1IaI
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,TaCe3kP998Y,Cựu Bí thư Vĩnh Phúc Hoàng Thị Thúy Lan được đề nghị giảm 24 - 30 tháng tù,Báo Thanh Niên,2025-12-16T08:15:07Z,2717,17,0,https://www.youtube.com/watch?v=TaCe3kP998Y
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,lU0i0F_blpY,"Cựu Bí thư Vĩnh Phúc Hoàng Thị Thúy Lan hầu tòa phúc thẩm, xuất hiện loạt tình tiết đặc biệt mới",Tiền Phong TV,2025-12-15T06:21:32Z,2946,78,8,https://www.youtube.com/watch?v=lU0i0F_blpY
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,u5yXGZ_AklY,Cựu Bí thư Vĩnh Phúc Hoàng Thị Thúy Lan thú nhận ‘rất đau đớn’ khi phải đứng trước tòa,Ninh Bình Digital,2025-12-17T02:00:57Z,28,0,0,https://www.youtube.com/watch?v=u5yXGZ_AklY
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,QBFuwmTQxUI,Sốc: Cựu Bí thư Tỉnh ủy Vĩnh Phúc Phạm Văn Vọng xin hưởng án treo để chăm sóc vợ | BXD,Báo Xây dựng,2025-12-16T11:46:25Z,145,2,0,https://www.youtube.com/watch?v=QBFuwmTQxUI
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,zgFlGgqE8kI,Vụ Phúc Sơn: Cựu Bí thư Vĩnh Phúc Phạm Văn Vọng xin hưởng án treo vì vợ bị ung thư | THCL,Thương hiệu & Công luận TV,2025-12-16T08:05:55Z,431,4,3,https://www.youtube.com/watch?v=zgFlGgqE8kI
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,HFReSiQWgrY,Cựu Bí thư Tỉnh ủy Vĩnh Phúc khai gì tại phiên tòa phúc thẩm?,TẠP CHÍ KINH TẾ ,2025-12-15T11:00:36Z,4431,16,0,https://www.youtube.com/watch?v=HFReSiQWgrY
Phú Thọ,ĐỒNG BẰNG SÔNG HỒNG,#vinhphuc,HDB6yeSuii4,"Gia đình cựu Bí thư Tỉnh ủy Vĩnh Phúc mong dư luận thấu hiểu, chia sẻ  #tintuc #news",Báo Hà Nội Mới,2025-12-13T15:55:03Z,2662,12,0,https://www.youtube.com/watch?v=HDB6yeSuii4
