"Tỉnh, thành phố",Tổng số 2018,Tổng số 2019,Tổng số 2020,Tổng số 2021,Tổng số 2022,Tổng số 2023,Tổng số Sơ bộ 2024,Nam 2018,Nam 2019,Nam 2020,Nam 2021,Nam 2022,Nam 2023,Nam Sơ bộ 2024,Nữ 2018,Nữ 2019,Nữ 2020,Nữ 2021,Nữ 2022,Nữ 2023,Nữ Sơ bộ 2024,Thành thị 2018,Thành thị 2019,Thành thị 2020,Thành thị 2021,Thành thị 2022,Thành thị 2023,Thành thị Sơ bộ 2024,Nông thôn 2018,Nông thôn 2019,Nông thôn 2020,Nông thôn 2021,Nông thôn 2022,Nông thôn 2023,Nông thôn Sơ bộ 2024
Bà Rịa - Vũng Tàu,"1138,3","1152,2","1167,94","1176,08","1178,7","1187,5","1194,65",571,"578,2","578,97",583,"587,83","592,28","595,88","567,3",574,"588,97","593,08","590,87","595,22","598,77","656,7","675,6","672,31","686,87","711,89","723,37","741,81","481,6","476,6","495,63","489,21","466,81","464,13",452.84
TP.Hồ Chí Minh,"8843,2","9038,6","9227,6","9166,84","9389,72","9456,66","9543,63","4303,6","4405,1","4525,29","4510,4","4576,37","4584,21","4626,65","4539,7","4633,4","4702,3","4656,44","4813,35","4872,45","4916,98","7045,1","7161,5","7290,92","7239,63","7297,85",7344,"7428,6","1798,2",1877,"1936,68","1927,21","2091,87","2112,66",2115.03
Đồng bằng sông Cửu Long,"17280,7","17282,5","17318,55","17422,62","17432,1","17463,29","17547,85","8597,1","8599,6","8620,9","8673,24","8716,52","8733,74","8776,39","8683,5","8682,9","8697,65","8749,38","8715,58","8729,55","8771,46","4307,3","4357,7","4482,78","4595,34","4658,88","4780,76","4850,99","12973,4","12924,8","12835,77","12827,28","12773,22","12682,52",12696.87
Long An,"1678,9","1695,1","1713,66","1725,75","1734,26","1743,43","1756,25","837,1","845,5","855,46","861,5","865,92","870,58","877,03","841,9","849,6","858,2","864,26","868,34","872,85","879,21","272,2","272,5","312,52","316,46","318,58","320,79","326,83","1406,7","1422,6","1401,13","1409,3","1415,68","1422,64",1429.42
Tiền Giang,"1759,1","1766,3","1772,54","1779,42","1785,24","1790,65","1796,06",863,"866,9","868,87","872,13","878,87","881,63","884,39","896,1","899,4","903,67","907,29","906,36","909,03","911,68","246,3","247,3","251,91","253,64","271,92","273,68","302,56","1512,8",1519,"1520,64","1525,77","1513,32","1516,97",1493.51
Bến Tre,1286,"1289,1","1292,4","1295,7","1298,01","1299,33","1306,27","629,4","630,8","633,1","634,72","640,46","641,18","644,64","656,6","658,4","659,29","660,98","657,54","658,15","661,63","126,3","126,4","126,66","128,27","133,04","170,43","174,65","1159,7","1162,7","1165,74","1167,43","1164,96","1128,9",1131.62
Trà Vinh,"1008,8","1009,3","1009,94","1018,63","1019,26","1019,88","1023,89","496,7","496,9","496,89","501,17","503,32","503,68","505,68","512,1","512,4","513,05","517,47","515,94","516,21","518,21",172,"174,1","175,83","178,36","184,86","186,85","189,01","836,8","835,2","834,11","840,27","834,4","833,03",834.88
Vĩnh Long,"1022,7","1022,6","1022,97","1029,02","1028,82","1029,63","1037,27","503,8","503,8","503,94","506,97","508,72","509,17","512,97","518,9","518,8","519,03","522,05","520,11","520,46","524,3","169,7","169,8","232,07","233,72","233,94","235,5","237,83",853,"852,8","790,9","795,3","794,88","794,13",799.44
Đồng Tháp,"1606,1","1598,8","1600,01","1601,31","1600,17","1600,25","1601,12","802,4","798,9","799,25","799,89","800,16","801,07","801,32","803,7","799,9","800,77","801,41","800,01","799,18","799,8","292,3","304,7","306,15","323,21","323,88","325,82","328,61","1313,8","1294,1","1293,87","1278,1","1276,29","1274,43",1272.51
An Giang,1931,"1907,4","1904,53","1909,51","1905,52","1906,27","1912,58","958,9","947,1","945,6","948,15","946,15","946,56","949,75","972,2","960,3","958,93","961,36","959,37","959,71","962,83",605,"602,6","601,64","646,02","644,77","705,29","706,49",1326,"1304,8","1302,89","1263,48","1260,74","1200,97",1206.09
Kiên Giang,"1718,1","1723,7","1728,87","1752,32","1751,76","1755,34","1766,66","870,5","873,7","876,54","888,98","896,34","898,26","904,1","847,6",850,"852,33","863,34","855,42","857,08","862,55","484,6","488,8","491,75","504,36","522,73","528,66","527,28","1233,5","1234,9","1237,11","1247,9","1229,03","1226,68",1239.38
Cần Thơ,"1227,7",1236,"1240,73","1246,99","1252,35","1258,88","1271,72","608,9","612,9","616,14","619,12","621,65","625,06","631,47","618,8",623,"624,59","627,88","630,7","633,82","640,25","850,6","861,3","868,84","876,92","882,86","887,83","898,66","377,1","374,7","371,89","370,07","369,49","371,05",373.07
Hậu Giang,"734,9","732,2","729,78","729,89","729,47","728,29","730,01","367,4","365,7","367,4","367,4","369,24","368,68","369,57","367,5","366,4","362,38","362,44","360,23","359,61","360,45",183,"197,7","204,05","212,69","204,99","204,66","205,15","551,9","534,4","525,73","517,2","524,48","523,63",524.86
Sóc Trăng,"1208,8","1199,5","1195,74","1206,82","1197,82","1198,8","1205,34","602,4","597,9","595,9","601,42","606,4","606,91","610,26","606,5","601,6","599,84","605,4","591,43","591,89","595,08","385,5","388,5","386,61","391,4","405,65","406,02","411,15","823,3",811,"809,13","815,42","792,17","792,78",794.19
Bạc Liêu,903,"908,2","913,48","918,51","921,81","925,17","928,68","451,7","454,6","457,07","459,49","462,14","463,88","465,7","451,2","453,7","456,41","459,02","459,67","461,29","462,98","249,5","252,3","253,64","254,94","255,89","256,85","257,92","653,5",656,"659,84","663,57","665,92","668,32",670.77
Cà Mau,"1195,6","1194,3","1193,89","1208,75","1207,63","1207,37",1212,"605,1","604,9","604,74","612,26","617,17","617,1","619,5","590,4","589,4","589,16","596,49","590,46","590,28","592,5","270,3","271,7","271,11","275,35","275,77","278,39","284,86","925,3","922,6","922,78","933,4","931,86","928,99",927.14
