stt,province,festival_name,type,month_gregorian_2018,month_gregorian_2019,month_gregorian_2020,month_gregorian_2021,month_gregorian_2022,month_gregorian_2023,month_gregorian_2024,month_gregorian_2025,province_normalized
15,Bắc Ninh,Hội đình Đình Bảng,Truyền thống,2018-03,2019-03,2020-03,2021-03,2022-03,2023-03,2024-03,2025-03,Bắc Ninh
16,Bắc Ninh,Hội làng Me (Kim Thiều),Truyền thống,2018-02,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Bắc Ninh
17,Bắc Ninh,Hội làng Thiết Úng (Từ Sơn),Truyền thống,2018-02,2019-02,2020-02,2021-02,2022-02,2023-01,2024-02,2025-02,Bắc Ninh
18,Bắc Ninh,Hội làng Thiểm Xuyên (Yên Phong),Truyền thống,2018-03,2019-02,2020-02,2021-03,2022-02,2023-02,2024-03,2025-02,Bắc Ninh
19,Bến Tre,Lễ hội Văn hóa truyền thống,Truyền thống,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,Vĩnh Long
20,Bình Dương,Lễ hội chùa Bà Thiên Hậu,Tôn giáo,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,TP. Hồ Chí Minh
21,Bình Định,Lễ hội kỷ niệm Quang Trung,Lịch sử,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02,Gia Lai
22,Bình Định,Lễ hội Vía Bà Xã Nhơn Phong,Tôn giáo,2018-03,2019-02,2020-02,2021-02,2022-02,2023-02,2024-02,2025-02,Gia Lai
23,Bình Định,Lễ hội Đống Đa,Lịch sử,2018-02,2019-02,2020-01,2021-02,2022-02,2023-01,2024-02,2025-02,Gia Lai
24,Bình Phước,Liên hoan văn hóa dân tộc thiểu số,Dân tộc,2018-12,2019-12,2020-12,2021-12,2022-12,2023-12,2024-12,2025-12,Đồng Nai
25,Bình Thuận,Lễ hội Katê (người Chăm),Dân tộc,2018-07,2019-07,2020-07,2021-07,2022-07,2023-07,2024-07,2025-07,Lâm Đồng
26,Bình Thuận,Lễ hội Ramưwan,Tôn giáo,2018-07,2019-07,2020-07,2021-07,2022-06,2023-07,2024-07,2025-06,Lâm Đồng
27,Bình Thuận,Lễ hội Dinh Thầy - Thím,Truyền thống,2018-10,2019-10,2020-10,2021-10,2022-10,2023-10,2024-10,2025-11,Lâm Đồng
